indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TE1001I,DE056C1	713 e	719 e	654 e	706 	728 	699 e	679 e	720 e	698 e	686 e	666 e	646 e	658 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE058C1	: 	: 	: 	: 	: 	492 e	503 e	423 e	433 e	425 e	425 e	393 e	368 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE059C1	527 e	548 e	542 e	575 	574 	570 e	528 e	530 e	499 e	501 e	457 e	459 e	420 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE060C1	: 	: 	: 	: 	: 	442 e	459 e	454 e	446 e	405 e	402 e	397 e	322 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE061C1	479 e	497 e	483 e	502 	519 	532 e	487 e	522 e	479 e	467 e	460 e	426 e	420 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE062C1	434 e	447 e	440 e	491 	520 	485 e	533 e	481 e	453 e	464 e	425 e	394 e	441 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE064C1	: 	: 	: 	: 	: 	: 	: 	: 	790 e	794 e	764 e	663 e	668 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE066C1	458 e	440 e	425 e	458 	488 	507 e	477 e	467 e	445 e	406 e	400 e	364 e	360 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE067C1	473 e	496 e	442 e	467 	485 	486 e	460 e	469 e	423 e	397 e	371 e	370 e	343 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE069C1	417 e	427 e	415 e	467 	480 	472 e	400 e	402 e	411 e	409 e	407 e	363 e	366 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE070C1	440 e	410 e	429 e	446 	470 	438 e	448 e	460 e	426 e	435 e	430 e	433 e	431 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
